,index,borough,latitude,longitude
0,0,London Borough of Camden,51.5428548,-0.16252590365221342
1,1,Royal Borough of Greenwich,51.4686295,0.0488382866312719
2,2,London Borough of Hackney,51.54888185,-0.047669054262764424
3,3,London Borough of Hammersmith and Fulham,51.498314199999996,-0.22787818358222445
4,4,London Borough of Islington,51.54703495,-0.10165844952259628
5,5,Royal Borough of Kensington and Chelsea,51.50379515,-0.20078938323179596
6,6,London Borough of Lambeth,51.460466249999996,-0.12131281431701332
7,7,London Borough of Lewisham,51.45343165,-0.012510531510678023
8,8,London Borough of Southwark,51.4652783,-0.06903783020807258
9,9,London Borough of Tower Hamlets,51.51456185,-0.03501226201922958
10,10,London Borough of Wandsworth,51.45190115,-0.19950823955687028
11,11,City of Westminster,51.4973206,-0.137149
12,12,London Borough of Barking and Dagenham,51.5541171,0.15050434261994267
13,13,London Borough of Barnet,51.612522999999996,-0.21144427132963145
14,14,London Borough of Bexley,51.46196875,0.14569856715068022
15,15,London Borough of Brent,51.5639957,-0.27590641378489267
16,16,London Borough of Bromley,51.36685695,0.061709076090816765
17,17,London Borough of Croydon,51.3550556,-0.0643103753173489
18,18,London Borough of Ealing,51.5250846,-0.3142935008138148
19,19,London Borough of Enfield,51.64874005,-0.08097999953626095
20,20,London Borough of Haringey,51.587929849999995,-0.10541010599099046
21,21,London Borough of Harrow,51.596827149999996,-0.3373046180437286
22,22,London Borough of Havering,51.55792615,0.24981280474568598
23,23,London Borough of Hillingdon,51.542519299999995,-0.44833493117949663
24,24,London Borough of Hounslow,51.46173345,-0.38013097749520874
25,25,Royal Borough of Kingston upon Thames,51.38177625,-0.27699333824284805
26,26,London Borough of Merton,51.41086985,-0.18809708858824303
27,27,London Borough of Newham,51.52999955,0.02931796029382208
28,28,London Borough of Redbridge,51.5863662,0.06975911636956193
29,29,London Borough of Richmond upon Thames,51.4405529,-0.3076394377337949
30,30,London Borough of Sutton,51.357464449999995,-0.17362689496950337
31,31,London Borough of Waltham Forest,51.59816935,-0.01783667461048707
